School,OverallG,OverallW,OverallL,OverallW-L_percent,OverallSRS,OverallSOS,Conf.W,Conf.L,PointsTm.,PointsOpp.,School TotalsFG,School TotalsFGA,School TotalsFG_percent,School Totals3P,School Totals3PA,School Totals3P_percent,School TotalsFT,School TotalsFTA,School TotalsFT_percent,School TotalsTRB,School TotalsAST,School TotalsSTL,School TotalsBLK,SchoolAdvancedFTr,SchoolAdvanced3PAr,SchoolAdvancedTS_percent,SchoolAdvancedTRB_percent,SchoolAdvancedAST_percent,SchoolAdvancedBLK_percent,SchoolAdvancedeFG_percent,SchoolAdvancedFT/FGA,season,seed
Oklahoma,25,15,10,0.6,13.73,8.21,9,8,1869,1731,670,1517,0.442,200,591,0.338,329,442,0.744,907,335,184,86,0.291,0.39,0.541,50,50,9.2,0.508,0.217,2021,8
Old Dominion,23,15,8,0.652,-0.73,-0.5,11,5,1571,1556,586,1307,0.448,113,392,0.288,286,413,0.692,826,278,172,86,0.316,0.3,0.523,51.5,47.4,11.5,0.492,0.219,2021,NA
Oral Roberts,26,16,10,0.615,-0.76,-2.58,10,5,2126,1970,734,1617,0.454,294,753,0.39,364,442,0.824,915,329,166,106,0.273,0.466,0.582,47.5,44.8,9.6,0.545,0.225,2021,15
Oregon State,29,17,12,0.586,7.55,7.69,10,10,2049,1981,712,1637,0.435,203,575,0.353,422,557,0.758,977,426,176,96,0.34,0.351,0.539,50.2,59.8,9.9,0.497,0.258,2021,12
Oregon,26,20,6,0.769,13.62,6.66,14,4,1934,1753,715,1515,0.472,218,575,0.379,286,406,0.704,859,349,194,94,0.268,0.38,0.566,50.7,48.8,10.7,0.544,0.189,2021,7
Pacific,18,9,9,0.5,1.6,4.19,6,7,1256,1272,479,1093,0.438,93,311,0.299,205,302,0.679,622,233,116,61,0.276,0.285,0.508,51.7,48.6,10.3,0.481,0.188,2021,NA
Penn State,25,11,14,0.44,14.73,15.09,7,12,1816,1825,637,1562,0.408,221,654,0.338,321,435,0.738,913,335,198,59,0.278,0.419,0.513,51.8,52.6,6.9,0.479,0.206,2021,NA
Pennsylvania,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
Pepperdine,24,12,12,0.5,3.61,5.07,7,6,1830,1790,650,1425,0.456,168,521,0.322,362,464,0.78,834,381,151,70,0.326,0.366,0.556,49.1,58.6,7.7,0.515,0.254,2021,NA
Pittsburgh,22,10,12,0.455,8.77,7.73,6,10,1566,1543,554,1283,0.432,144,426,0.338,314,473,0.664,843,321,133,83,0.369,0.332,0.519,53.6,57.9,11.2,0.488,0.245,2021,NA
Portland State,22,9,13,0.409,-7.88,-6.22,6,8,1512,1463,532,1335,0.399,152,517,0.294,296,437,0.677,832,247,182,66,0.327,0.387,0.49,52.2,46.4,8.7,0.455,0.222,2021,NA
Portland,21,6,15,0.286,-13.99,3.67,0,11,1459,1748,488,1187,0.411,153,451,0.339,330,426,0.775,600,250,132,61,0.359,0.38,0.525,42.4,51.2,7.9,0.476,0.278,2021,NA
Prairie View,21,16,5,0.762,-8.49,-15.54,13,0,1497,1349,567,1265,0.448,139,457,0.304,224,342,0.655,739,333,202,89,0.27,0.361,0.524,49.4,58.7,12.2,0.503,0.177,2021,NA
Presbyterian,22,7,15,0.318,-13.41,-8.46,5,12,1411,1476,499,1199,0.416,128,418,0.306,285,416,0.685,739,235,154,49,0.347,0.349,0.505,51.2,47.1,6.9,0.47,0.238,2021,NA
Princeton,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
Providence,26,13,13,0.5,9.93,9.81,9,10,1816,1813,657,1529,0.43,164,513,0.32,338,483,0.7,928,350,147,78,0.316,0.336,0.516,49.5,53.3,7.7,0.483,0.221,2021,NA
Purdue,27,18,9,0.667,17.29,12.47,13,6,1920,1790,689,1527,0.451,192,573,0.335,350,492,0.711,1015,386,140,92,0.322,0.375,0.545,54.5,56,11.2,0.514,0.229,2021,4
Quinnipiac,22,9,13,0.409,-8.32,-6.82,7,10,1485,1518,505,1258,0.401,169,522,0.324,306,445,0.688,793,279,123,100,0.354,0.415,0.505,47.6,55.2,11.2,0.469,0.243,2021,NA
Radford,27,15,12,0.556,-5.6,-6,12,6,1826,1745,644,1408,0.457,158,504,0.313,380,558,0.681,999,301,164,48,0.396,0.358,0.546,55.9,46.7,5.3,0.513,0.27,2021,NA
Rhode Island,25,10,15,0.4,6.08,5.72,7,10,1786,1777,635,1436,0.442,143,458,0.312,373,558,0.668,962,303,164,114,0.389,0.319,0.525,52.3,47.7,12.2,0.492,0.26,2021,NA
Rice,28,15,13,0.536,-3.76,-1.52,6,10,2068,2062,731,1660,0.44,286,800,0.358,320,438,0.731,1036,424,153,60,0.264,0.482,0.554,51.3,58,5.2,0.527,0.193,2021,NA
Richmond,21,13,8,0.619,9.55,5.55,6,5,1574,1453,575,1213,0.474,156,441,0.354,268,367,0.73,635,305,186,44,0.303,0.364,0.567,46.4,53,5.8,0.538,0.221,2021,NA
Rider,23,6,17,0.261,-11.55,-5.07,5,13,1553,1702,564,1318,0.428,145,411,0.353,280,382,0.733,765,284,117,47,0.29,0.312,0.518,49.4,50.4,6,0.483,0.212,2021,NA
Robert Morris,19,4,15,0.211,-12.37,-4.7,3,12,1374,1494,518,1169,0.443,142,394,0.36,196,299,0.656,646,299,124,57,0.256,0.337,0.524,47.5,57.7,8.1,0.504,0.168,2021,NA
Rutgers,26,15,11,0.577,15.18,13.45,10,10,1819,1774,696,1544,0.451,157,505,0.311,270,427,0.632,918,359,203,136,0.277,0.327,0.521,49.2,51.6,14.1,0.502,0.175,2021,10
Sacramento State,20,8,12,0.4,-9.08,-4.97,5,9,1443,1442,531,1157,0.459,133,362,0.367,248,365,0.679,627,255,138,45,0.315,0.313,0.542,48.9,48,6.4,0.516,0.214,2021,NA
Sacred Heart,18,9,9,0.5,-10.23,-5.51,9,7,1265,1350,431,1046,0.412,143,434,0.329,260,351,0.741,647,241,88,38,0.336,0.415,0.522,48.9,55.9,5.1,0.48,0.249,2021,NA
Saint Francis (PA),22,6,16,0.273,-8.47,-3.97,5,13,1515,1614,541,1266,0.427,129,417,0.309,304,426,0.714,779,282,127,47,0.336,0.329,0.516,49.8,52.1,5.9,0.478,0.24,2021,NA
Saint Joseph's,20,5,15,0.25,-3.54,6.91,3,9,1443,1652,506,1238,0.409,191,609,0.314,240,331,0.725,675,287,120,36,0.267,0.492,0.517,44.9,56.7,4.5,0.486,0.194,2021,NA
Saint Louis,20,14,6,0.7,12.95,2.6,6,4,1507,1300,559,1205,0.464,131,372,0.352,258,367,0.703,774,353,141,63,0.305,0.309,0.546,56.8,63.1,9.7,0.518,0.214,2021,NA
Saint Mary's (CA),23,14,9,0.609,7.47,5.69,4,6,1475,1434,538,1279,0.421,141,482,0.293,258,354,0.729,792,241,142,72,0.277,0.377,0.51,52,44.8,8,0.476,0.202,2021,16
Saint Peter's,25,14,11,0.56,-4.66,-6.38,10,8,1580,1537,555,1386,0.4,154,477,0.323,316,453,0.698,926,293,201,133,0.327,0.344,0.493,51.3,52.8,16,0.456,0.228,2021,NA
Sam Houston State,28,19,9,0.679,-3.44,-5.02,13,3,2229,1969,797,1758,0.453,255,715,0.357,380,549,0.692,1033,435,237,88,0.312,0.407,0.552,49.7,54.6,8.7,0.526,0.216,2021,NA
Samford,19,6,13,0.316,-8.54,-1.24,2,9,1460,1510,541,1218,0.444,151,484,0.312,227,331,0.686,755,283,129,47,0.272,0.397,0.531,52.4,52.3,8.1,0.506,0.186,2021,NA
San Diego State,27,23,4,0.852,14.63,2.2,14,3,2000,1635,695,1529,0.455,229,611,0.375,381,527,0.723,970,374,223,77,0.345,0.4,0.562,53,53.8,10,0.529,0.249,2021,6
San Diego,14,3,11,0.214,-6.49,4.36,2,7,927,1079,352,847,0.416,82,270,0.304,141,217,0.65,469,185,94,48,0.256,0.319,0.488,46.2,52.6,8.5,0.464,0.166,2021,NA
San Francisco,25,11,14,0.44,5.16,3,4,9,1786,1732,647,1514,0.427,259,760,0.341,233,325,0.717,833,295,179,81,0.215,0.502,0.535,48.7,45.6,8.4,0.513,0.154,2021,NA
San Jose State,21,5,16,0.238,-17.6,0.98,2,12,1381,1710,493,1257,0.392,157,494,0.318,238,364,0.654,722,213,99,57,0.29,0.393,0.483,43.4,43.2,6.7,0.455,0.189,2021,NA
Santa Clara,20,12,8,0.6,-1.26,0.95,4,5,1393,1412,486,1121,0.434,110,359,0.306,311,455,0.684,729,240,88,78,0.406,0.32,0.521,50.2,49.4,10.1,0.483,0.277,2021,NA
Seattle,23,12,11,0.522,-6.66,-4.92,4,5,1677,1578,593,1426,0.416,186,593,0.314,305,416,0.733,776,264,151,80,0.292,0.416,0.516,47.2,44.5,9.9,0.481,0.214,2021,NA
Seton Hall,27,14,13,0.519,12.04,10.45,10,9,1924,1881,673,1525,0.441,180,561,0.321,398,544,0.732,941,347,170,118,0.357,0.368,0.539,50.1,51.6,11.4,0.5,0.261,2021,NA
Siena,17,12,5,0.706,-3.29,-7.88,12,4,1149,1071,411,894,0.46,108,314,0.344,219,333,0.658,594,215,94,56,0.372,0.351,0.546,51.7,52.3,8.4,0.52,0.245,2021,NA
South Alabama,28,17,11,0.607,-5.66,-5.49,10,7,2075,1985,715,1621,0.441,256,707,0.362,389,542,0.718,996,314,200,91,0.334,0.436,0.552,48.4,43.9,11,0.52,0.24,2021,NA
South Carolina State,18,1,17,0.056,-24.36,-7.03,1,7,1102,1414,401,1033,0.388,123,388,0.317,177,285,0.621,563,178,106,50,0.276,0.376,0.472,44.6,44.4,7.6,0.448,0.171,2021,NA
South Carolina Upstate,23,5,18,0.217,-13.13,-4.63,5,11,1515,1712,538,1269,0.424,171,508,0.337,268,372,0.72,717,276,143,57,0.293,0.4,0.524,46.5,51.3,7.1,0.491,0.211,2021,NA
South Carolina,21,6,15,0.286,3.79,10.41,4,12,1523,1662,566,1364,0.415,142,466,0.305,249,381,0.654,755,280,176,77,0.279,0.342,0.493,48.7,49.5,10,0.467,0.183,2021,NA
South Dakota State,23,16,7,0.696,2.63,-2.69,9,3,1850,1690,655,1315,0.498,185,458,0.404,355,496,0.716,822,327,127,71,0.377,0.348,0.597,53.5,49.9,8.5,0.568,0.27,2021,NA
South Dakota,25,14,11,0.56,-1.81,-4.06,11,4,1899,1805,674,1438,0.469,186,478,0.389,365,468,0.78,870,349,114,61,0.325,0.332,0.572,50.5,51.8,6.9,0.533,0.254,2021,NA
South Florida,22,9,13,0.409,0.1,6.39,4,10,1449,1571,516,1277,0.404,138,422,0.327,279,438,0.637,831,251,116,62,0.343,0.33,0.488,52.8,48.6,8.6,0.458,0.218,2021,NA
Southeast Missouri State,27,11,16,0.407,-9.83,-7.16,9,11,1864,1936,630,1468,0.429,205,582,0.352,399,595,0.671,949,374,185,64,0.405,0.396,0.532,51.6,59.4,6.7,0.499,0.272,2021,NA
Southeastern Louisiana,26,8,18,0.308,-17.62,-8.24,5,11,1775,2019,591,1498,0.395,177,607,0.292,416,614,0.678,887,261,180,64,0.41,0.405,0.496,48.5,44.2,7.3,0.454,0.278,2021,NA
Southern California,29,22,7,0.759,17.27,7.61,15,5,2168,1888,788,1687,0.467,183,526,0.348,409,632,0.647,1145,396,139,153,0.375,0.312,0.545,55,50.3,13.6,0.521,0.242,2021,6
SIU Edwardsville,26,9,17,0.346,-14.53,-5.61,7,12,1709,1897,619,1403,0.441,156,490,0.318,315,463,0.68,852,337,153,121,0.33,0.349,0.527,48.4,54.4,13.1,0.497,0.225,2021,NA
Southern Illinois,26,12,14,0.462,-3.48,0.8,5,13,1704,1770,614,1362,0.451,210,560,0.375,266,400,0.665,772,352,160,48,0.294,0.411,0.549,46.5,57.3,5.6,0.528,0.195,2021,NA
Southern Methodist,16,11,5,0.688,11.14,4.14,7,4,1185,1073,425,943,0.451,120,354,0.339,215,295,0.729,596,241,99,72,0.313,0.375,0.547,51.4,56.7,12.7,0.514,0.228,2021,NA
Southern Mississippi,25,8,17,0.32,-6.88,-2.1,4,13,1605,1668,603,1396,0.432,134,421,0.318,265,392,0.676,878,302,148,52,0.281,0.302,0.507,50.8,50.1,6.7,0.48,0.19,2021,NA
Southern Utah,24,20,4,0.833,-0.7,-7.02,12,2,2021,1669,699,1475,0.474,211,618,0.341,412,551,0.748,946,338,168,63,0.374,0.419,0.582,55.5,48.4,7.2,0.545,0.279,2021,NA
Southern,19,8,11,0.421,-13.71,-13.28,8,6,1327,1335,465,1077,0.432,104,322,0.323,293,436,0.672,690,267,155,49,0.405,0.299,0.517,51.5,57.4,6.6,0.48,0.272,2021,NA
St. Bonaventure,20,16,4,0.8,15.15,5,11,4,1410,1207,521,1161,0.449,131,370,0.354,237,323,0.734,745,296,120,78,0.278,0.319,0.536,53.1,56.8,12.4,0.505,0.204,2021,9
St. Francis (NY),19,9,10,0.474,-8.26,-6.42,9,9,1476,1511,542,1215,0.446,118,356,0.331,274,373,0.735,688,271,153,66,0.307,0.293,0.53,49.4,50,8.9,0.495,0.226,2021,NA
St. John's (NY),27,16,11,0.593,10.27,8.05,10,9,2132,2072,779,1744,0.447,200,581,0.344,374,499,0.749,971,440,246,105,0.286,0.333,0.538,48.7,56.5,10.2,0.504,0.214,2021,NA
Stanford,27,14,13,0.519,8.11,7.96,10,10,1883,1879,678,1461,0.464,145,451,0.322,382,533,0.717,905,332,191,92,0.365,0.309,0.549,50,49,9.5,0.514,0.261,2021,NA
Stephen F. Austin,21,16,5,0.762,-1.87,-8.71,13,3,1686,1484,622,1195,0.521,100,297,0.337,342,503,0.68,749,331,199,73,0.421,0.249,0.588,55.4,53.2,10,0.562,0.286,2021,NA
Stetson,25,11,14,0.44,-7.38,-4.57,7,9,1800,1767,642,1470,0.437,236,622,0.379,280,401,0.698,870,351,178,68,0.273,0.423,0.542,50.8,54.7,7.7,0.517,0.19,2021,NA
Stony Brook,23,9,14,0.391,-5.27,-3.86,7,9,1522,1509,543,1318,0.412,140,473,0.296,296,434,0.682,875,278,129,114,0.329,0.359,0.499,51.7,51.2,14.5,0.465,0.225,2021,NA
Syracuse,25,16,9,0.64,13.75,8.63,9,7,1896,1768,676,1534,0.441,203,601,0.338,341,435,0.784,897,382,218,123,0.284,0.392,0.545,48.7,56.5,14.4,0.507,0.222,2021,11
Tarleton State,20,10,10,0.5,-8.17,-3.91,5,7,1467,1246,530,1129,0.469,110,291,0.378,297,412,0.721,639,294,209,53,0.365,0.258,0.554,48.7,55.5,10,0.518,0.263,2021,NA
Temple,16,5,11,0.313,2.77,5.77,4,10,1053,1101,348,868,0.401,115,336,0.342,242,338,0.716,580,214,67,39,0.389,0.387,0.512,49.5,61.5,6.7,0.467,0.279,2021,NA
Tennessee-Martin,24,8,16,0.333,-19.02,-5.49,6,14,1571,1847,556,1393,0.399,165,495,0.333,294,409,0.719,775,289,172,62,0.294,0.355,0.495,46.7,52,8,0.458,0.211,2021,NA
Tennessee State,23,4,19,0.174,-13.65,-6.79,3,17,1573,1702,568,1342,0.423,138,480,0.288,299,438,0.683,775,268,170,73,0.326,0.358,0.507,46.9,47.2,8.9,0.475,0.223,2021,NA
Tennessee Tech,27,5,22,0.185,-13.63,-3.34,5,15,1797,2075,656,1517,0.432,208,648,0.321,277,410,0.676,908,380,176,62,0.27,0.427,0.525,49.4,57.9,6.2,0.501,0.183,2021,6
Tennessee,26,18,8,0.692,18.06,8.79,10,7,1885,1644,661,1491,0.443,173,512,0.338,390,523,0.746,934,391,188,128,0.351,0.343,0.542,51.6,59.2,14.4,0.501,0.262,2021,5
Texas A&M-Corpus Christi,24,5,19,0.208,-16.95,-6.29,2,13,1554,1716,542,1296,0.418,153,464,0.33,317,463,0.685,816,308,165,74,0.357,0.358,0.513,48.4,56.8,8.1,0.477,0.245,2021,NA
Texas A&M,18,8,10,0.444,2.31,4.97,2,8,1157,1205,401,966,0.415,117,391,0.299,238,328,0.726,602,218,124,34,0.34,0.405,0.516,50.9,54.4,6.7,0.476,0.246,2021,NA
Texas-Arlington,26,13,13,0.5,-7.2,-4.55,9,8,1916,1827,677,1658,0.408,235,659,0.357,327,444,0.736,974,353,214,122,0.268,0.397,0.513,48.9,52.1,12.2,0.479,0.197,2021,NA
Texas Christian,26,12,14,0.462,2.83,7.21,5,11,1738,1852,625,1428,0.438,175,518,0.338,311,463,0.672,900,338,157,91,0.324,0.363,0.527,50.2,54.1,9.1,0.499,0.218,2021,NA
Texas-El Paso,24,12,12,0.5,0.9,1.09,8,8,1698,1644,608,1432,0.425,171,524,0.326,311,416,0.748,828,285,150,67,0.291,0.366,0.521,49.4,46.9,7.5,0.484,0.217,2021,NA
Texas-Rio Grande Valley,19,9,10,0.474,-10.22,-5.82,2,5,1376,1287,476,1164,0.409,126,429,0.294,298,468,0.637,743,289,169,81,0.402,0.369,0.496,49.5,60.7,11.2,0.463,0.256,2021,NA
Texas-San Antonio,26,15,11,0.577,-1.41,-0.36,9,7,2050,1906,768,1717,0.447,209,625,0.334,305,401,0.761,1001,383,161,83,0.234,0.364,0.537,51.3,49.9,8.8,0.508,0.178,2021,NA
Texas Southern,24,16,8,0.667,-7.48,-10.96,10,3,1795,1672,650,1443,0.45,110,398,0.276,385,551,0.699,998,298,172,111,0.382,0.276,0.526,53.9,45.8,12.4,0.489,0.267,2021,16
Texas State,25,18,7,0.72,-3.93,-7.45,12,3,1660,1543,629,1359,0.463,139,366,0.38,263,372,0.707,821,331,171,73,0.274,0.269,0.54,52.4,52.6,9.6,0.514,0.194,2021,NA
Texas Tech,27,17,10,0.63,16.54,6.91,9,8,1972,1712,686,1549,0.443,168,485,0.346,432,608,0.711,948,350,196,110,0.393,0.313,0.537,51.5,51,12.6,0.497,0.279,2021,6
Texas,26,19,7,0.731,16.24,9.81,11,6,1956,1789,684,1506,0.454,225,631,0.357,363,513,0.708,1005,341,170,101,0.341,0.419,0.559,53,49.9,10,0.529,0.241,2021,3
Toledo,29,21,8,0.724,7.62,-1.48,15,4,2367,2103,829,1811,0.458,308,817,0.377,401,515,0.779,1097,465,177,71,0.284,0.451,0.576,50.3,56.1,6.4,0.543,0.221,2021,NA
Towson,18,4,14,0.222,-9.02,-1.52,3,9,1214,1349,434,1055,0.411,90,311,0.289,256,352,0.727,666,170,90,50,0.334,0.295,0.497,51.5,39.2,7.9,0.454,0.243,2021,NA
Troy,28,11,17,0.393,-11.63,-3.63,4,12,1829,1942,636,1596,0.398,171,619,0.276,386,555,0.695,1056,320,175,87,0.348,0.388,0.492,51.2,50.3,8.7,0.452,0.242,2021,NA
Tulane,23,10,13,0.435,1.04,3.6,4,12,1470,1529,486,1269,0.383,151,507,0.298,347,465,0.746,752,269,172,71,0.366,0.4,0.493,45.8,55.3,9.7,0.442,0.273,2021,NA
Tulsa,23,11,12,0.478,4.22,5.46,7,9,1573,1509,566,1262,0.448,159,504,0.315,282,416,0.678,781,327,146,46,0.33,0.399,0.539,49.2,57.8,6.3,0.511,0.223,2021,NA
UCLA,26,17,9,0.654,12.41,8.06,13,6,1894,1781,686,1485,0.462,173,471,0.367,349,484,0.721,910,354,132,69,0.326,0.317,0.552,53.2,51.6,7.8,0.52,0.235,2021,11
Utah State,28,20,8,0.714,11.25,0.76,13,4,2052,1743,751,1682,0.446,181,538,0.336,369,508,0.726,1142,456,190,136,0.302,0.32,0.533,57.2,60.7,14.6,0.5,0.219,2021,11
Utah Valley,22,11,11,0.5,-4.38,-2.58,9,4,1632,1635,592,1246,0.475,116,335,0.346,332,526,0.631,854,370,115,101,0.422,0.269,0.546,54.5,62.5,11.6,0.522,0.266,2021,NA
Utah,25,12,13,0.48,9.38,7.06,8,11,1803,1745,656,1398,0.469,172,484,0.355,319,403,0.792,782,378,136,85,0.288,0.346,0.567,47.9,57.6,9.2,0.531,0.228,2021,NA
Valparaiso,28,10,18,0.357,-3.91,1.43,7,11,1821,1902,660,1576,0.419,189,635,0.298,312,429,0.727,920,356,183,97,0.272,0.403,0.512,47.1,53.9,9.4,0.479,0.198,2021,NA
Vanderbilt,25,9,16,0.36,6.64,7.24,3,13,1794,1809,609,1416,0.43,233,667,0.349,343,466,0.736,843,318,175,65,0.329,0.471,0.548,49.3,52.2,7.3,0.512,0.242,2021,NA
Vermont,15,10,5,0.667,2.79,-6.81,10,4,1095,951,383,828,0.463,116,337,0.344,213,273,0.78,524,211,75,39,0.33,0.407,0.572,52.9,55.1,8,0.533,0.257,2021,NA
Villanova,22,16,6,0.727,18.08,9.67,11,4,1662,1477,581,1291,0.45,203,576,0.352,297,388,0.765,755,336,117,32,0.301,0.446,0.563,51.1,57.8,4.4,0.529,0.23,2021,5
Virginia Commonwealth,26,19,7,0.731,12.28,5.74,10,4,1864,1694,659,1460,0.451,168,510,0.329,378,497,0.761,890,347,240,140,0.34,0.349,0.55,49.6,52.7,14.8,0.509,0.259,2021,10
VMI,25,13,12,0.52,0.14,-0.23,7,7,2001,1897,706,1517,0.465,270,711,0.38,319,413,0.772,963,393,134,75,0.272,0.469,0.584,51.3,55.7,8,0.554,0.21,2021,NA
Virginia Tech,21,15,6,0.714,13.68,7.06,9,4,1515,1376,534,1183,0.451,173,485,0.357,274,393,0.697,738,302,100,83,0.332,0.41,0.553,52.3,56.6,11.8,0.525,0.232,2021,10
Virginia,24,18,6,0.75,16.66,8.49,13,4,1647,1451,608,1266,0.48,204,535,0.381,227,278,0.817,762,335,118,104,0.22,0.423,0.589,52.1,55.1,13,0.561,0.179,2021,4
Wagner,20,13,7,0.65,-3.37,-5.92,13,5,1425,1374,533,1205,0.442,117,368,0.318,242,337,0.718,713,258,147,51,0.28,0.305,0.522,52.5,48.4,8.2,0.491,0.201,2021,NA
Wake Forest,22,6,16,0.273,2.72,9.05,3,15,1458,1583,501,1222,0.41,195,562,0.347,261,359,0.727,718,252,136,48,0.294,0.46,0.524,48.9,50.3,6.2,0.49,0.214,2021,NA
Washington State,27,14,13,0.519,5.82,4.64,7,12,1853,1821,633,1539,0.411,208,610,0.341,379,534,0.71,1027,328,167,95,0.347,0.396,0.517,52.3,51.8,9,0.479,0.246,2021,NA
Washington,26,5,21,0.192,-0.55,9.18,4,16,1759,2012,641,1513,0.424,197,593,0.332,280,397,0.705,811,280,158,94,0.262,0.392,0.517,44.5,43.7,8.9,0.489,0.185,2021,NA
Weber State,23,17,6,0.739,1.9,-6.45,12,3,1881,1594,656,1300,0.505,193,496,0.389,376,478,0.787,754,345,154,69,0.368,0.382,0.616,51.4,52.6,8,0.579,0.289,2021,NA
West Virginia,27,18,9,0.667,15.86,10.67,11,6,2087,1947,711,1660,0.428,196,549,0.357,469,654,0.717,1030,373,202,77,0.394,0.331,0.53,51.7,52.5,7.6,0.487,0.283,2021,3
Western Carolina,27,11,16,0.407,-6.92,-1.52,4,13,2039,2129,716,1577,0.454,226,662,0.341,381,525,0.726,928,359,133,75,0.333,0.42,0.558,49.6,50.1,7.4,0.526,0.242,2021,NA
Western Illinois,22,7,15,0.318,-12.84,-4.98,5,9,1606,1746,550,1362,0.404,157,497,0.316,349,488,0.715,839,225,116,67,0.358,0.365,0.504,51.1,40.9,7.9,0.461,0.256,2021,NA
Western Kentucky,27,20,7,0.741,5.41,0.18,11,3,1974,1833,685,1512,0.453,171,496,0.345,433,548,0.79,1023,359,178,121,0.362,0.328,0.557,55,52.4,12.5,0.51,0.286,2021,NA
Western Michigan,21,5,16,0.238,-10.61,-0.31,4,12,1325,1511,499,1153,0.433,141,427,0.33,186,291,0.639,710,245,93,42,0.252,0.37,0.513,48.2,49.1,5.3,0.494,0.161,2021,NA
Wichita State,21,16,5,0.762,9.43,6.8,11,2,1520,1416,514,1261,0.408,175,512,0.342,317,460,0.689,799,279,128,75,0.365,0.406,0.514,49,54.3,9.5,0.477,0.251,2021,11
William & Mary,17,7,10,0.412,-10.32,-3.09,4,6,1101,1224,388,948,0.409,98,342,0.287,227,303,0.749,574,183,90,56,0.32,0.361,0.504,48.4,47.2,8.4,0.461,0.239,2021,NA
Winthrop,24,23,1,0.958,5.1,-7.65,17,1,1909,1603,674,1463,0.461,203,575,0.353,358,522,0.686,966,361,186,57,0.357,0.393,0.558,56.3,53.6,6.7,0.53,0.245,2021,12
Wisconsin,29,17,12,0.586,17.82,12.51,10,10,2019,1865,711,1689,0.421,248,689,0.36,349,455,0.767,972,386,170,110,0.269,0.408,0.53,48.8,54.3,10.4,0.494,0.207,2021,9
Wofford,24,15,9,0.625,2.19,0.19,12,5,1784,1627,646,1374,0.47,246,692,0.355,246,349,0.705,829,351,160,48,0.254,0.504,0.579,51.6,54.3,6.1,0.56,0.179,2021,NA
Wright State,24,18,6,0.75,7.73,-6.82,16,4,1967,1618,710,1471,0.483,179,484,0.37,368,508,0.724,1015,369,141,87,0.345,0.329,0.574,56.2,52,8.4,0.544,0.25,2021,NA
Wyoming,25,14,11,0.56,-1.48,-2.56,5,9,1915,1888,649,1442,0.45,251,704,0.357,366,509,0.719,816,351,145,54,0.353,0.488,0.569,47,54.1,5.4,0.537,0.254,2021,NA
Xavier,21,13,8,0.619,11.95,7.33,6,7,1571,1474,589,1285,0.458,162,498,0.325,231,333,0.694,792,369,145,85,0.259,0.388,0.544,50.8,62.6,10.3,0.521,0.18,2021,NA
Yale,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
Youngstown State,27,15,12,0.556,-8.94,-7.33,9,11,2010,1950,717,1672,0.429,186,606,0.307,390,537,0.726,991,349,163,44,0.321,0.362,0.522,51.3,48.7,4.6,0.484,0.233,2021,NA