team1,team2,winner,season,team1_seed,team2_seed
Wisconsin,Xavier,Wisconsin,2016,7,2
North Carolina,Indiana,North Carolina,2016,1,5
Notre Dame,Wisconsin,Notre Dame,2016,6,7
North Carolina,Notre Dame,North Carolina,2016,1,6
Kansas,Austin Peay,Kansas,2016,1,16
Colorado,Connecticut,Connecticut,2016,8,9
Maryland,South Dakota State,Maryland,2016,5,12
University of California,Hawaii,Hawaii,2016,4,13
Arizona,Wichita State,Wichita State,2016,6,11
Miami (FL),Buffalo,Miami (FL),2016,3,14
Iowa,Temple,Iowa,2016,7,10
Villanova,North Carolina-Asheville,Villanova,2016,2,15
Kansas,Connecticut,Kansas,2016,1,9
Maryland,Hawaii,Maryland,2016,5,13
Wichita State,Miami (FL),Miami (FL),2016,11,3
Iowa,Villanova,Villanova,2016,7,2
Kansas,Maryland,Kansas,2016,1,5
Miami (FL),Villanova,Villanova,2016,3,2
Kansas,Villanova,Villanova,2016,1,2
Oregon,Holy Cross,Oregon,2016,1,16
Saint Joseph's,Cincinnati,Saint Joseph's,2016,8,9
Baylor,Yale,Yale,2016,5,12
Duke,North Carolina-Wilmington,Duke,2016,4,13
Texas,Northern Iowa,Northern Iowa,2016,6,11
Texas A&M,Green Bay,Texas A&M,2016,3,14
Oregon State,Virginia Commonwealth,Virginia Commonwealth,2016,7,10
Oklahoma,Cal State Bakersfield,Oklahoma,2016,2,15
Oregon,Saint Joseph's,Oregon,2016,1,8
Yale,Duke,Duke,2016,12,4
Northern Iowa,Texas A&M,Texas A&M,2016,11,3
Virginia Commonwealth,Oklahoma,Oklahoma,2016,10,2
Oregon,Duke,Oregon,2016,1,4
Texas A&M,Oklahoma,Oklahoma,2016,3,2
Oregon,Oklahoma,Oklahoma,2016,1,2
Virginia,Hampton,Virginia,2016,1,16
Texas Tech,Butler,Butler,2016,8,9
Purdue,Arkansas-Little Rock,Arkansas-Little Rock,2016,5,12
Iowa State,Iona,Iowa State,2016,4,13
Seton Hall,Gonzaga,Gonzaga,2016,6,11
Utah,Fresno State,Utah,2016,3,14
Dayton,Syracuse,Syracuse,2016,7,10
Michigan State,Middle Tennessee,Middle Tennessee,2016,2,15
Virginia,Butler,Virginia,2016,1,9
Arkansas-Little Rock,Iowa State,Iowa State,2016,12,4
Gonzaga,Utah,Gonzaga,2016,11,3
Syracuse,Middle Tennessee,Syracuse,2016,10,15
Virginia,Iowa State,Virginia,2016,1,4
Gonzaga,Syracuse,Syracuse,2016,11,10
Virginia,Syracuse,Syracuse,2016,1,10
Villanova,Oklahoma,Villanova,2016,2,2
Syracuse,North Carolina,North Carolina,2016,10,1
Villanova,North Carolina,Villanova,2016,2,1
Villanova,Mount St. Mary's,Villanova,2017,1,16
Wisconsin,Virginia Tech,Wisconsin,2017,8,9
Virginia,North Carolina-Wilmington,Virginia,2017,5,12
Florida,East Tennessee State,Florida,2017,4,13
Southern Methodist,Southern California,Southern California,2017,6,11
Baylor,New Mexico State,Baylor,2017,3,14
South Carolina,Marquette,South Carolina,2017,7,10
Duke,Troy,Duke,2017,2,15
Villanova,Wisconsin,Wisconsin,2017,1,8
Virginia,Florida,Florida,2017,5,4
Southern California,Baylor,Baylor,2017,11,3
South Carolina,Duke,South Carolina,2017,7,2
Wisconsin,Florida,Florida,2017,8,4
Baylor,South Carolina,South Carolina,2017,3,7
Florida,South Carolina,South Carolina,2017,4,7
Kansas,UC-Davis,Kansas,2017,1,16
Miami (FL),Michigan State,Michigan State,2017,8,9
Iowa State,Nevada,Iowa State,2017,5,12
Purdue,Vermont,Purdue,2017,4,13
Creighton,Rhode Island,Rhode Island,2017,6,11
Oregon,Iona,Oregon,2017,3,14
Michigan,Oklahoma State,Michigan,2017,7,10
Louisville,Jacksonville State,Louisville,2017,2,15
Kansas,Michigan State,Kansas,2017,1,9
Iowa State,Purdue,Purdue,2017,5,4
Rhode Island,Oregon,Oregon,2017,11,3
Michigan,Louisville,Michigan,2017,7,2
Kansas,Purdue,Kansas,2017,1,4
Oregon,Michigan,Oregon,2017,3,7
Kansas,Oregon,Oregon,2017,1,3
North Carolina,Texas Southern,North Carolina,2017,1,16
Arkansas,Seton Hall,Arkansas,2017,8,9
Minnesota,Middle Tennessee,Middle Tennessee,2017,5,12
Butler,Winthrop,Butler,2017,4,13
Cincinnati,Kansas State,Cincinnati,2017,6,11
UCLA,Kent State,UCLA,2017,3,14
Dayton,Wichita State,Wichita State,2017,7,10
Kentucky,Northern Kentucky,Kentucky,2017,2,15
North Carolina,Arkansas,North Carolina,2017,1,8
Middle Tennessee,Butler,Butler,2017,12,4
Cincinnati,UCLA,UCLA,2017,6,3
Wichita State,Kentucky,Kentucky,2017,10,2
North Carolina,Butler,North Carolina,2017,1,4
UCLA,Kentucky,Kentucky,2017,3,2
North Carolina,Kentucky,North Carolina,2017,1,2
Gonzaga,South Dakota State,Gonzaga,2017,1,16
Northwestern,Vanderbilt,Northwestern,2017,8,9
Notre Dame,Princeton,Notre Dame,2017,5,12
West Virginia,Bucknell,West Virginia,2017,4,13
Maryland,Xavier,Xavier,2017,6,11
Florida State,Florida Gulf Coast,Florida State,2017,3,14
Saint Mary's (CA),Virginia Commonwealth,Saint Mary's (CA),2017,7,10
Arizona,North Dakota,Arizona,2017,2,15
Gonzaga,Northwestern,Gonzaga,2017,1,8
Notre Dame,West Virginia,West Virginia,2017,5,4
Xavier,Florida State,Xavier,2017,11,3
Saint Mary's (CA),Arizona,Arizona,2017,7,2
Gonzaga,West Virginia,Gonzaga,2017,1,4
Xavier,Arizona,Xavier,2017,11,2
Gonzaga,Xavier,Gonzaga,2017,1,11
Oregon,North Carolina,North Carolina,2017,3,1
South Carolina,Gonzaga,Gonzaga,2017,7,1
North Carolina,Gonzaga,North Carolina,2017,1,1
Villanova,Radford,Villanova,2018,1,16
Virginia Tech,Alabama,Alabama,2018,8,9
West Virginia,Murray State,West Virginia,2018,5,12
Wichita State,Marshall,Marshall,2018,4,13
Florida,St. Bonaventure,Florida,2018,6,11
Texas Tech,Stephen F. Austin,Texas Tech,2018,3,14
Arkansas,Butler,Butler,2018,7,10
Purdue,Cal State Fullerton,Purdue,2018,2,15
Villanova,Alabama,Villanova,2018,1,9
West Virginia,Marshall,West Virginia,2018,5,13
Florida,Texas Tech,Texas Tech,2018,6,3
Butler,Purdue,Purdue,2018,10,2
Villanova,West Virginia,Villanova,2018,1,5
Texas Tech,Purdue,Texas Tech,2018,3,2
Villanova,Texas Tech,Villanova,2018,1,3
Kansas,Pennsylvania,Kansas,2018,1,16
Seton Hall,North Carolina State,Seton Hall,2018,8,9
Clemson,New Mexico State,Clemson,2018,5,12
Auburn,College of Charleston,Auburn,2018,4,13
Texas Christian,Syracuse,Syracuse,2018,6,11
Michigan State,Bucknell,Michigan State,2018,3,14
Rhode Island,Oklahoma,Rhode Island,2018,7,10
Duke,Iona,Duke,2018,2,15
Kansas,Seton Hall,Kansas,2018,1,8
Clemson,Auburn,Clemson,2018,5,4
Syracuse,Michigan State,Syracuse,2018,11,3
Rhode Island,Duke,Duke,2018,7,2
Kansas,Clemson,Kansas,2018,1,5
Syracuse,Duke,Duke,2018,11,2
Kansas,Duke,Kansas,2018,1,2
Xavier,Texas Southern,Xavier,2018,1,16
Missouri,Florida State,Florida State,2018,8,9
Ohio State,South Dakota State,Ohio State,2018,5,12
Gonzaga,North Carolina-Greensboro,Gonzaga,2018,4,13
Houston,San Diego State,Houston,2018,6,11
Michigan,Montana,Michigan,2018,3,14
Texas A&M,Providence,Texas A&M,2018,7,10
North Carolina,Lipscomb,North Carolina,2018,2,15
Xavier,Florida State,Florida State,2018,1,9
Ohio State,Gonzaga,Gonzaga,2018,5,4
Houston,Michigan,Michigan,2018,6,3
Texas A&M,North Carolina,Texas A&M,2018,7,2
Florida State,Gonzaga,Florida State,2018,9,4
Michigan,Texas A&M,Michigan,2018,3,7
Florida State,Michigan,Michigan,2018,9,3
Virginia,Maryland-Baltimore County,Maryland-Baltimore County,2018,1,16
Creighton,Kansas State,Kansas State,2018,8,9
Kentucky,Davidson,Kentucky,2018,5,12
Arizona,Buffalo,Buffalo,2018,4,13
Miami (FL),Loyola (IL),Loyola (IL),2018,6,11
Tennessee,Wright State,Tennessee,2018,3,14
Nevada,Texas,Nevada,2018,7,10
Cincinnati,Georgia State,Cincinnati,2018,2,15
Maryland-Baltimore County,Kansas State,Kansas State,2018,16,9
Kentucky,Buffalo,Kentucky,2018,5,13
Loyola (IL),Tennessee,Loyola (IL),2018,11,3
Nevada,Cincinnati,Nevada,2018,7,2
Kansas State,Kentucky,Kansas State,2018,9,5
Loyola (IL),Nevada,Loyola (IL),2018,11,7
Kansas State,Loyola (IL),Loyola (IL),2018,9,11
Villanova,Kansas,Villanova,2018,1,1
Loyola (IL),Michigan,Michigan,2018,11,3
Villanova,Michigan,Villanova,2018,1,3
Duke,North Dakota State,Duke,2019,1,16
Virginia Commonwealth,Central Florida,Central Florida,2019,8,9
Mississippi State,Liberty,Liberty,2019,5,12
Virginia Tech,Saint Louis,Virginia Tech,2019,4,13
Maryland,Belmont,Maryland,2019,6,11
Louisiana State,Yale,Louisiana State,2019,3,14
Louisville,Minnesota,Minnesota,2019,7,10
Michigan State,Bradley,Michigan State,2019,2,15
Duke,Central Florida,Duke,2019,1,9
Liberty,Virginia Tech,Virginia Tech,2019,12,4
Maryland,Louisiana State,Louisiana State,2019,6,3
Minnesota,Michigan State,Michigan State,2019,10,2
Duke,Virginia Tech,Duke,2019,1,4
Louisiana State,Michigan State,Michigan State,2019,3,2
Duke,Michigan State,Michigan State,2019,1,2
Gonzaga,Fairleigh Dickinson,Gonzaga,2019,1,16
Syracuse,Baylor,Baylor,2019,8,9
Marquette,Murray State,Murray State,2019,5,12
Florida State,Vermont,Florida State,2019,4,13
Buffalo,Arizona State,Buffalo,2019,6,11
Texas Tech,Northern Kentucky,Texas Tech,2019,3,14
Nevada,Florida,Florida,2019,7,10
Michigan,Montana,Michigan,2019,2,15
Gonzaga,Baylor,Gonzaga,2019,1,9
Murray State,Florida State,Florida State,2019,12,4
Buffalo,Texas Tech,Texas Tech,2019,6,3
Florida,Michigan,Michigan,2019,10,2
Gonzaga,Florida State,Gonzaga,2019,1,4
Texas Tech,Michigan,Texas Tech,2019,3,2
Gonzaga,Texas Tech,Texas Tech,2019,1,3
North Carolina,Iona,North Carolina,2019,1,16
Utah State,Washington,Washington,2019,8,9
Auburn,New Mexico State,Auburn,2019,5,12
Kansas,Northeastern,Kansas,2019,4,13
Iowa State,Ohio State,Ohio State,2019,6,11
Houston,Georgia State,Houston,2019,3,14
Wofford,Seton Hall,Wofford,2019,7,10
Kentucky,Abilene Christian,Kentucky,2019,2,15
North Carolina,Washington,North Carolina,2019,1,9
Auburn,Kansas,Auburn,2019,5,4
Ohio State,Houston,Houston,2019,11,3
Wofford,Kentucky,Kentucky,2019,7,2
North Carolina,Auburn,Auburn,2019,1,5
Houston,Kentucky,Kentucky,2019,3,2
Auburn,Kentucky,Auburn,2019,5,2
Virginia,Gardner-Webb,Virginia,2019,1,16
Mississippi,Oklahoma,Oklahoma,2019,8,9
Wisconsin,Oregon,Oregon,2019,5,12
Kansas State,UC-Irvine,UC-Irvine,2019,4,13
Villanova,Saint Mary's (CA),Villanova,2019,6,11
Purdue,Old Dominion,Purdue,2019,3,14
Cincinnati,Iowa,Iowa,2019,7,10
Tennessee,Colgate,Tennessee,2019,2,15
Virginia,Oklahoma,Virginia,2019,1,9
Oregon,UC-Irvine,Oregon,2019,12,13
Villanova,Purdue,Purdue,2019,6,3
Iowa,Tennessee,Tennessee,2019,10,2
Virginia,Oregon,Virginia,2019,1,12
Purdue,Tennessee,Purdue,2019,3,2
Virginia,Purdue,Virginia,2019,1,3
Virginia,Auburn,Virginia,2019,1,5
Texas Tech,Michigan State,Texas Tech,2019,3,2
Virginia,Texas Tech,Virginia,2019,1,3
Michigan,Texas Southern,Michigan,2021,1,16
Louisiana State,St. Bonaventure,Louisiana State,2021,8,9
Colorado,Georgetown,Colorado,2021,5,12
Florida State,North Carolina-Greensboro,Florida State,2021,4,13
Brigham Young,UCLA,UCLA,2021,6,11
Texas,Abilene Christian,Abilene Christian,2021,3,14
Connecticut,Maryland,Maryland,2021,7,10
Alabama,Iona,Alabama,2021,2,15
Michigan,Louisiana State,Michigan,2021,1,8
Colorado,Florida State,Florida State,2021,5,4
UCLA,Abilene Christian,UCLA,2021,11,14
Maryland,Alabama,Alabama,2021,10,2
Michigan,Florida State,Michigan,2021,1,4
UCLA,Alabama,UCLA,2021,11,2
Michigan,UCLA,UCLA,2021,1,11
Gonzaga,Norfolk State,Gonzaga,2021,1,16
Oklahoma,Missouri,Oklahoma,2021,8,9
Creighton,UC-Santa Barbara,Creighton,2021,5,12
Virginia,Ohio,Ohio,2021,4,13
Southern California,Drake,Southern California,2021,6,11
Kansas,Eastern Washington,Kansas,2021,3,14
Oregon,Virginia Commonwealth,Oregon,2021,7,10
Iowa,Grand Canyon,Iowa,2021,2,15
Gonzaga,Oklahoma,Gonzaga,2021,1,8
Creighton,Ohio,Creighton,2021,5,13
Southern California,Kansas,Southern California,2021,6,3
Oregon,Iowa,Oregon,2021,7,2
Gonzaga,Creighton,Gonzaga,2021,1,5
Southern California,Oregon,Southern California,2021,6,7
Gonzaga,Southern California,Gonzaga,2021,1,6
Illinois,Drexel,Illinois,2021,1,16
Loyola (IL),Georgia Tech,Loyola (IL),2021,8,9
Tennessee,Oregon State,Oregon State,2021,5,12
Oklahoma State,Liberty,Oklahoma State,2021,4,13
San Diego State,Syracuse,Syracuse,2021,6,11
West Virginia,Morehead State,West Virginia,2021,3,14
Clemson,Rutgers,Rutgers,2021,7,10
Houston,Cleveland State,Houston,2021,2,15
Illinois,Loyola (IL),Loyola (IL),2021,1,8
Oregon State,Oklahoma State,Oregon State,2021,12,4
Syracuse,West Virginia,Syracuse,2021,11,3
Rutgers,Houston,Houston,2021,10,2
Loyola (IL),Oregon State,Oregon State,2021,8,12
Syracuse,Houston,Houston,2021,11,2
Oregon State,Houston,Houston,2021,12,2
Baylor,Hartford,Baylor,2021,1,16
North Carolina,Wisconsin,Wisconsin,2021,8,9
Villanova,Winthrop,Villanova,2021,5,12
Purdue,North Texas,North Texas,2021,4,13
Texas Tech,Utah State,Texas Tech,2021,6,11
Arkansas,Colgate,Arkansas,2021,3,14
Florida,Virginia Tech,Florida,2021,7,10
Ohio State,Oral Roberts,Oral Roberts,2021,2,15
Baylor,Wisconsin,Baylor,2021,1,9
Villanova,North Texas,Villanova,2021,5,13
Texas Tech,Arkansas,Arkansas,2021,6,3
Florida,Oral Roberts,Oral Roberts,2021,7,15
Baylor,Villanova,Baylor,2021,1,5
Arkansas,Oral Roberts,Arkansas,2021,3,15
Baylor,Arkansas,Baylor,2021,1,3
Baylor,Houston,Baylor,2021,1,2
Gonzaga,UCLA,Gonzaga,2021,1,11
Baylor,Gonzaga,Baylor,2021,1,1
Baylor,Norfolk State,Baylor,2022,1,16
North Carolina,Marquette,North Carolina,2022,8,9
Saint Mary's (CA),Indiana,Saint Mary's (CA),2022,5,12
UCLA,Akron,UCLA,2022,4,13
Texas,Virginia Tech,Texas,2022,6,11
Purdue,Yale,Purdue,2022,3,14
Murray State,San Francisco,Murray State,2022,7,10
Kentucky,Saint Peter's,Saint Peter's,2022,2,15
Baylor,North Carolina,North Carolina,2022,1,8
Saint Mary's (CA),UCLA,UCLA,2022,5,4
Texas,Purdue,Purdue,2022,6,3
Murray State,Saint Peter's,Saint Peter's,2022,7,15
North Carolina,UCLA,North Carolina,2022,8,4
Purdue,Saint Peter's,Saint Peter's,2022,3,15
North Carolina,Saint Peter's,North Carolina,2022,8,15
Kansas,Texas Southern,Kansas,2022,1,16
San Diego State,Creighton,Creighton,2022,8,9
Iowa,Richmond,Richmond,2022,5,12
Providence,South Dakota State,Providence,2022,4,13
Louisiana State,Iowa State,Iowa State,2022,6,11
Wisconsin,Colgate,Wisconsin,2022,3,14
Southern California,Miami (FL),Miami (FL),2022,7,10
Auburn,Jacksonville State,Auburn,2022,2,15
Kansas,Creighton,Kansas,2022,1,9
Richmond,Providence,Providence,2022,12,4
Iowa State,Wisconsin,Iowa State,2022,11,3
Miami (FL),Auburn,Miami (FL),2022,10,2
Kansas,Providence,Kansas,2022,1,4
Iowa State,Miami (FL),Miami (FL),2022,11,10
Kansas,Miami (FL),Kansas,2022,1,10
Arizona,Wright State,Arizona,2022,1,16
Seton Hall,Texas Christian,Texas Christian,2022,8,9
Houston,UAB,Houston,2022,5,12
Illinois,Chattanooga,Illinois,2022,4,13
Colorado State,Michigan,Michigan,2022,6,11
Tennessee,Longwood,Tennessee,2022,3,14
Ohio State,Loyola (IL),Ohio State,2022,7,10
Villanova,Delaware,Villanova,2022,2,15
Arizona,Texas Christian,Arizona,2022,1,9
Houston,Illinois,Houston,2022,5,4
Michigan,Tennessee,Michigan,2022,11,3
Ohio State,Villanova,Villanova,2022,7,2
Arizona,Houston,Houston,2022,1,5
Michigan,Villanova,Villanova,2022,11,2
Houston,Villanova,Villanova,2022,5,2
Gonzaga,Georgia State,Gonzaga,2022,1,16
Boise State,Memphis,Memphis,2022,8,9
Connecticut,New Mexico State,New Mexico State,2022,5,12
Arkansas,Vermont,Arkansas,2022,4,13
Alabama,Notre Dame,Notre Dame,2022,6,11
Texas Tech,Montana State,Texas Tech,2022,3,14
Michigan State,Davidson,Michigan State,2022,7,10
Duke,Cal State Fullerton,Duke,2022,2,15
Gonzaga,Memphis,Gonzaga,2022,1,9
New Mexico State,Arkansas,Arkansas,2022,12,4
Notre Dame,Texas Tech,Texas Tech,2022,11,3
Michigan State,Duke,Duke,2022,7,2
Gonzaga,Arkansas,Arkansas,2022,1,4
Texas Tech,Duke,Duke,2022,3,2
Arkansas,Duke,Duke,2022,4,2
Villanova,Kansas,Kansas,2022,2,1
Duke,North Carolina,North Carolina,2022,2,8
Kansas,North Carolina,Kansas,2022,1,8
Purdue,Fairleigh Dickinson,Fairleigh Dickinson,2023,1,16
Memphis,Florida Atlantic,Florida Atlantic,2023,8,9
Duke,Oral Roberts,Duke,2023,5,12
Tennessee,Louisiana,Tennessee,2023,4,13
Kentucky,Providence,Kentucky,2023,6,11
Kansas State,Montana State,Kansas State,2023,3,14
Michigan State,Southern California,Michigan State,2023,7,10
Marquette,Vermont,Marquette,2023,2,15
Fairleigh Dickinson,Florida Atlantic,Florida Atlantic,2023,16,9
Duke,Tennessee,Tennessee,2023,5,4
Kentucky,Kansas State,Kansas State,2023,6,3
Michigan State,Marquette,Michigan State,2023,7,2
Florida Atlantic,Tennessee,Florida Atlantic,2023,9,4
Kansas State,Michigan State,Kansas State,2023,3,7
Florida Atlantic,Kansas State,Florida Atlantic,2023,9,3
Houston,Northern Kentucky,Houston,2023,1,16
Iowa,Auburn,Auburn,2023,8,9
Miami (FL),Drake,Miami (FL),2023,5,12
Indiana,Kent State,Indiana,2023,4,13
Iowa State,Pittsburgh,Pittsburgh,2023,6,11
Xavier,Kennesaw State,Xavier,2023,3,14
Texas A&M,Penn State,Penn State,2023,7,10
Texas,Colgate,Texas,2023,2,15
Houston,Auburn,Houston,2023,1,9
Miami (FL),Indiana,Miami (FL),2023,5,4
Pittsburgh,Xavier,Xavier,2023,11,3
Penn State,Texas,Texas,2023,10,2
Houston,Miami (FL),Miami (FL),2023,1,5
Xavier,Texas,Texas,2023,3,2
Miami (FL),Texas,Miami (FL),2023,5,2
Alabama,Texas A&M-Corpus Christi,Alabama,2023,1,16
Maryland,West Virginia,Maryland,2023,8,9
San Diego State,College of Charleston,San Diego State,2023,5,12
Virginia,Furman,Furman,2023,4,13
Creighton,North Carolina State,Creighton,2023,6,11
Baylor,UC-Santa Barbara,Baylor,2023,3,14
Missouri,Utah State,Missouri,2023,7,10
Arizona,Princeton,Princeton,2023,2,15
Alabama,Maryland,Alabama,2023,1,8
San Diego State,Furman,San Diego State,2023,5,13
Creighton,Baylor,Creighton,2023,6,3
Missouri,Princeton,Princeton,2023,7,15
Alabama,San Diego State,San Diego State,2023,1,5
Creighton,Princeton,Creighton,2023,6,15
San Diego State,Creighton,San Diego State,2023,5,6
Kansas,Howard,Kansas,2023,1,16
Arkansas,Illinois,Arkansas,2023,8,9
Saint Mary's (CA),Virginia Commonwealth,Saint Mary's (CA),2023,5,12
Connecticut,Iona,Connecticut,2023,4,13
Texas Christian,Arizona State,Texas Christian,2023,6,11
Gonzaga,Grand Canyon,Gonzaga,2023,3,14
Northwestern,Boise State,Northwestern,2023,7,10
UCLA,North Carolina-Asheville,UCLA,2023,2,15
Kansas,Arkansas,Arkansas,2023,1,8
Saint Mary's (CA),Connecticut,Connecticut,2023,5,4
Texas Christian,Gonzaga,Gonzaga,2023,6,3
Northwestern,UCLA,UCLA,2023,7,2
Arkansas,Connecticut,Connecticut,2023,8,4
Gonzaga,UCLA,Gonzaga,2023,3,2
Connecticut,Gonzaga,Connecticut,2023,4,3
Connecticut,Miami (FL),Connecticut,2023,4,5
Florida Atlantic,San Diego State,San Diego State,2023,9,5
Connecticut,San Diego State,Connecticut,2023,4,5
